class,subclass,r_id,r_name,classification_notes,additional_info,link
Composition,Structural,Has count of ing,Has count of base of active ingredient (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [Polyvinyl alcohol 1.4% conventional release eye drops] -> [One],,
Association,Therapeutic,Has cytotox chemo Rx,Has cytotoxic chemotherapy - RxNorm (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [AC-D] -> [cyclophosphamide],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Has cytotoxic chemo,Has cytotoxic chemotherapy (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [AC-D] -> [Doxorubicin],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Attribute,Procedural,Has dir device,Has direct device (SNOMED),"Defines execution technicalities like route of administration, method, or device used. Example: [Renewal of single chamber intravenous cardiac pacemaker system] -> [Cardiac pacemaker]",Direct device (attribute) represents the device on which the method directly acts.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#direct-device
Attribute,Clinical,Has disc indicator,Has discontinued indicator (SNOMED),"Qualifies clinical states, statuses (e.g., severity, intent, prescribing status), or general clinical indicators.",,
Attribute,Pharmaceutical,Has disposition,Has disposition (SNOMED),Qualifies physical drug delivery properties or dose forms. Example: [Ergopeptide] -> [Toxin],,
Attribute,Pharmaceutical,Has dose form group,Has dose form group (RxNorm),Qualifies physical drug delivery properties or dose forms. Example: [odevixibat Oral Product] -> [Oral Product],,
Association,Causal,Has due to,Has due to (SNOMED),"Relates conditions to their biological, pathological, or environmental causes. Example: [Congenital macrostomia] -> [Congenital failure of fusion between maxillary and mandibular processes]","to identify a clinical finding/disorder, event, or procedure concept as the direct cause of another Clinical finding or Disorder concept",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#due-to
Association,Therapeutic,Has EMA indication,Has EMA indication (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Asparaginase erwinia chrysanthemi-rywn] -> [Acute lymphoblastic leukemia],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Has endocrine tx Rx,Has endocrine therapy - RxNorm (HemOnc),"Links therapeutic interventions to clinical indications or contraindications. Example: [Anastrozole, Lapatinib, Trastuzumab] -> [anastrozole]",,https://hemonc.org/wiki/HemOncKB_canonical_triples
Attribute,Clinical,Has episodicity,Has episodicity (SNOMED),"Qualifies clinical states, statuses (e.g., severity, intent, prescribing status), or general clinical indicators. Example: [Intrathecal Ziconotide pump trial] -> [New episode]","represent episodes of care provided by a physician or other healthcare provider, not episodes of disease experienced by the patient",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#episodicity
Association,Causal,Has etiology,Has Etiology (SNOMED),"Relates conditions to their biological, pathological, or environmental causes.",,
Composition,Structural,Has excipient,Has excipient (SNOMED),Defines the inherent chemical constituents or dosage strength.,,
Attribute,Anatomical,Has extent,Has Extent (SNOMED),"Spatial qualifier describing location, morphology, or extent.",,
Association,Administrative,Has FDA labeling,Has FDA labeling (HemOnc),"Operational link for system billing, metadata, dictionaries, or encounter tracking. Example: [Belzutifan] -> [Mutation-specific]",,
Association,Therapeutic,Has FDA-appr ind,Has FDA-approved drug indication (FDB),Links therapeutic interventions to clinical indications or contraindications.,,
Attribute,Measurement,Has flavor,Has flavor (SNOMED),"Defines metrics, scales, units, and quantitative properties of an observation.",,
Attribute,Anatomical,Has focus,Has focus (SNOMED),"Spatial qualifier describing location, morphology, or extent. Example: [Fibreoptic endoscopic coagulation of oesophageal lesion haemorrhage] -> [Bleeding]",Has focus (attribute) specifies the Clinical finding or Procedure which is the focus of a procedure. This attribute is self-grouped.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#has-focus
Association,Administrative,Has free indicator,Has NHS dm+d freeness indicator,"Operational link for system billing, metadata, dictionaries, or encounter tracking.",,
Association,Therapeutic,Has growth factor,Has growth factor (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [FLAG-Ida and GO] -> [Lenograstim],,
Association,Therapeutic,Has growth factor Rx,Has growth factor Rx (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [FLAG-Ida and GO] -> [lenograstim],,
Association,Therapeutic,Has HC indication,Has HC indication (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Amivantamab] -> [Non-small cell lung cancer],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Has immunosuppr Rx,Has immunosuppressor - RxNorm (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Iptacopan monotherapy] -> [eculizumab],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Has immunosuppressor,Has immunosuppressor (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Iptacopan monotherapy] -> [Iptacopan],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Has immunotherapy,Has immunotherapy (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Brexucabtagene autoleucel monotherapy] -> [Brexucabtagene autoleucel],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Has immunotherapy Rx,Has immunotherapy - RxNorm (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Brexucabtagene autoleucel monotherapy] -> [brexucabtagene autoleucel],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Administrative,Has incipient,Has incipient (DM+D),"Operational link for system billing, metadata, dictionaries, or encounter tracking.",,
Hierarchy,Categorical – down,Has inferred class,Has inferred drug class (OMOP),Expands a classification group into its constituent members.,,
Attribute,Context,Has inherent,Has inherent (SNOMED),"This is the inverse of Inheres in, which is already classified as Attribute, Context. It is classified here by precedent from its sibling row. Example: [Proximal surgical margin] -> [Presence of primary malignant neoplasm of esophagus at proximal surgical margin in esophageal resection specimen]",Specifies the independent continuant in which the quality exists and on which the dependent quality (of this observable) depends.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#inheres-in
Attribute,Clinical,Has intent,Has intent (SNOMED),"Qualifies clinical states, statuses (e.g., severity, intent, prescribing status), or general clinical indicators. Example: [Mild cognitive impairment annual review] -> [Preventive intent]","The Has intent attribute is used when a procedure may be performed for various reasons, described with subtypes of 363675004 |Intents (nature of procedure values) (qualifier value)|, such as diagnostic, palliative, preventive, therapeutic, etc. These intents are not used to define procedures with intents that are inherent to the procedure; such as biopsies that are by definition diagnostic, or fracture fixations which are always therapeutic.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#has-intent
Association,Interaction,Has interprets,Has interprets (SNOMED),Defines safety or therapeutic interference between agents. Example: [Sickle cell-hemoglobin SS disease] -> [Measurement of total hemoglobin concentration],"Refers to the entity being evaluated or interpreted, when an evaluation, interpretation, or judgment is intrinsic to the meaning of a concept.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#interprets
Hierarchy,Categorical – up,Has Issue,Has Issue,"Assigns a concept to a high-level grouping or classification chapter. Example: [Additional help outside the hospital (e.g. help with daily activities, self help groups, district nurses)?] -> [receiving information about additional help outside the hospital]",,
Attribute,Procedural,Has licensed route,Has licensed route (DM+D),"Defines execution technicalities like route of administration, method, or device used.",,
Association,Therapeutic,Has local therap Rx,Has local therapy - RxNorm (HemOnc),"Links therapeutic interventions to clinical indications or contraindications. Example: [Doxorubicin, Pegaspargase, Vincristine, Prednisone] -> [methotrexate]",,https://hemonc.org/wiki/HemOncKB_canonical_triples
Composition,Physical,Has meas component,Has Measured Component (SNOMED),Physical material assembly or structural part-whole relationship.,,
Attribute,Measurement,Has measurement,Has measurement method (SNOMED),"Defines metrics, scales, units, and quantitative properties of an observation. Example: [Herpes simplex antigen, enzyme immunoassay] -> [Immunoassay, quantitative]",,
Composition,Structural,Has modification,Has modification of (SNOMED),"A salt/ester/hydrate structural relationship between a substance and its modified form, not a deprecated-concept link. Example: [Berotralstat] -> [Berotralstat hydrochloride]",,
Hierarchy,Categorical – up,Has Module,Has Module,Assigns a concept to a high-level grouping or classification chapter. Example: [Hospital admission] -> [SNOMED CT core],,
Association,Therapeutic,Has NMPA indication,Has NMPA indication (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Tislelizumab] -> [Non-small cell lung cancer squamous],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Causal,Has pathology,Has pathological process (SNOMED),"Relates conditions to their biological, pathological, or environmental causes. Example: [Hereditary elliptocytosis] -> [Pathological developmental process]",,
Association,Administrative,Has pept-drg cjg Rx,Has peptide-drug conjugate - RxNorm (HemOnc),"Operational link for system billing, metadata, dictionaries, or encounter tracking. Example: [Melphalan flufenamide and Dexamethasone] -> [melphalan flufenamide]",,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Has pept-drug cjgt,Has peptide-drug conjugate (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Melphalan flufenamide and Dexamethasone] -> [Melphalan flufenamide],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Composition,Containment,Has pharma prep,Has pharmaceutical preparation (NDF),Links items to their physical packaging or multi-item kit groupings.,,
Association,Mechanistic,Has physio effect,Has physiological effect (NDF-RT),"Links substances to functional biological pathways or mechanisms. Example: [HYDROGEN PEROXIDE 3% SPRAY,TOP] -> [Unknown Physiological Effect]",,
Association,Mechanistic,Has physiol state,Has physiologic state (SNOMED Vet),Links substances to functional biological pathways or mechanisms. Example: [Grower/finisher pig for meat production] -> [Physically growing],,
Association,Mechanistic,Has PK,Has pharmacokinetics (NDF-RT),Links substances to functional biological pathways or mechanisms. Example: [ACETAMINOPHEN 325MG CAP] -> [Hepatic Metabolism],,
Association,Therapeutic,Has PMDA indication,Has PMDA indication (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Sutimlimab] -> [Cold agglutinin disease],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Attribute,Temporal,Has precondition,Has precondition (SNOMED),"Qualifies clinical events by their timing, sequence, or duration. Example: [Recumbent body height] -> [Recumbent body position]","Specify body state, timing, challenges, or other situations that must be true of the entity to be observed.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#precondition
Attribute,Procedural,Has proc device,Has procedure device (SNOMED),"Defines execution technicalities like route of administration, method, or device used. Example: [Cardiac implantable electronic device reprogramming due to surgery] -> [Cardiac implant]","Procedure device (attribute) is used to model devices associated with a procedure. This attribute is used to define high-level, general concepts that aggregate procedures according to the device involved.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#procedure-device
Association,Diagnostic,Has proc duration,Process duration,"Links evidence, tests, variants, or clinical findings to support diagnostic reasoning. Example: [Measured quantity of intake of potassium in 24 hours] -> [24 hours]",,
Association,Diagnostic,Has process output,Has process output (SNOMED),"Links evidence, tests, variants, or clinical findings to support diagnostic reasoning. Example: [Cardiac rate] -> [Entire cardiac cycle process]",,
Attribute,Pharmaceutical,Has prod character,Has product characteristic (SNOMED),Qualifies physical drug delivery properties or dose forms.,,
Attribute,Measurement,Has property,Has property,"Defines metrics, scales, units, and quantitative properties of an observation. Example: [Abnormal lymphocyte count] -> [Number concentration]",,
Attribute,Measurement,Has property type,Has property type,"Defines metrics, scales, units, and quantitative properties of an observation. Example: [Non-invasive central blood pressure] -> [Pressure]",,
Attribute,Pharmaceutical,Has quantified form,Has quantified form (RxNorm),Qualifies physical drug delivery properties or dose forms. Example: [hepatitis B immune globulin 200 UNT/ML Injectable Solution] -> [1 ML hepatitis B immune globulin 200 UNT/ML Injectable Solution],Modifies a drug concept with a specific quantity/strength.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Association,Administrative,Has question source,Has question source,"Operational link for system billing, metadata, dictionaries, or encounter tracking. Example: [Who do you know who has died? Please specify.] -> [Nurse’s Health Study COVID-19 supplement]",,
Association,Therapeutic,Has radiocjgt Rx,Has radioconjugate - RxNorm (HemOnc),"Links therapeutic interventions to clinical indications or contraindications. Example: [Busulfan, Fludarabine, Ibritumomab tiuxetan] -> [ibritumomab tiuxetan]",,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Has radiotherapy,Has radiotherapy (HemOnc),"Links therapeutic interventions to clinical indications or contraindications. Example: [Capecitabine, Erlotinib, RT] -> [External beam radiotherapy]",,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Has radiotherapy Rx,Has radiotherapy - RxNorm (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Radioiodine and Selumetinib] -> [iodine],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Composition,Physical,Has relative part,Has relative part (SNOMED),Physical material assembly or structural part-whole relationship. Example: [Toe brachial pressure index] -> [Structure of brachial artery],,
Attribute,Pharmaceutical,Has release charact,Has dose form release characteristic (SNOMED),Qualifies physical drug delivery properties or dose forms. Example: [Gas for insufflation] -> [Conventional release],,
Attribute,Clinical,Has revision status,Has revision status (SNOMED),"Qualifies clinical states, statuses (e.g., severity, intent, prescribing status), or general clinical indicators. Example: [Primary open reduction of fracture of short bone and fixation using screw] -> [Primary operation]",Revision status (attribute) refers to another procedure performed on the same site for the same condition. A procedure without a revision status is considered to be performed for the first time. ,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#revision-status
Attribute,Context,Has role,Has role (LOINC),Specific situational modifier or contextual role. Example: [Attending COVID-19 Intubation Consultation note] -> [Attending],,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Composition,Structural,Has setting,Has setting (LOINC),Defines the inherent chemical constituents or dosage strength. Example: [Emergency department COVID-19 Initial Evaluation form] -> [Emergency department],,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Association,Diagnostic,Has specimen,Has specimen (SNOMED),"Links evidence, tests, variants, or clinical findings to support diagnostic reasoning. Example: [Microscopic examination of cervical Papanicolaou smear and Human papillomavirus deoxyribonucleic acid detection cotesting] -> [Specimen from female genital tract]",Indicates the type of specimen on which a measurement or observation is performed.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/evaluation-procedure-attributes#has-specimen
Association,Administrative,Has specimen source,Has specimen source identity (SNOMED),"Operational link for system billing, metadata, dictionaries, or encounter tracking. Example: [Specimen from domestic vacuum cleaner filter] -> [Filter]","Specifies the type of individual, group, or physical location from which a specimen is collected",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/specimen/specimen-defining-attributes#specimen-source-identity
Composition,Structural,Has specimen subst,Has specimen substance (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [Condiment] -> [Food],"Specifies the type of substance, pharmaceutical/biologic product, or physical object of which a specimen is comprised.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/specimen/specimen-defining-attributes#specimen-substance
Identity,Near equivalence,Has standard brand,Has standard Brand Name (OMOP),"Links commercial or contextually similar entities (e.g., brand names, biosimilars, external maps).",,
Attribute,Pharmaceutical,Has state of matter,Has state of matter (SNOMED),Qualifies physical drug delivery properties or dose forms. Example: [Extended-release bead implant] -> [Solid],,
Attribute,Clinical,Has status,Has status,"Qualifies clinical states, statuses (e.g., severity, intent, prescribing status), or general clinical indicators. Example: [Hospital admission] -> [Primitive]",,
Attribute,Anatomical,Has surface texture,Has surface texture (SNOMED),"Spatial qualifier describing location, morphology, or extent. Example: [Saline-filled smooth breast implant] -> [Smooth]",Represents the tactile characteristic or appearance of the surface of an object.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/physical-object/physical-object-defining-attributes#has-surface-texture
Attribute,Procedural,Has surgical appr,Has surgical approach (SNOMED),"Defines execution technicalities like route of administration, method, or device used. Example: [Cystourethroscopy with ureteral meatotomy] -> [Transurethral approach]",,
Association,Therapeutic,Has targeted tx Rx,Has targeted therapy - RxNorm (HemOnc),"Links therapeutic interventions to clinical indications or contraindications. Example: [Anastrozole, Lapatinib, Trastuzumab] -> [trastuzumab]",,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Diagnostic,Has temp finding,Has temporal finding (SNOMED),Links diagnostic evidence or tests to a clinical concept/state. Example: [Self poisoning by carbon monoxide] -> [Suicide attempt by carbon monoxide inhalation],Applies to perioperative complications and clinical findings where there is no causal relationship but a time-relative association exists.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#temporally-related-to
Attribute,Temporal,Has time aspect,Has time aspect,"Qualifies clinical events by their timing, sequence, or duration. Example: [SARS-CoV-2 (COVID-19) Ab [Presence] in Serum or Plasma by Immunoassay] -> [Point in time (spot)]",,
Hierarchy,Categorical – up,Has Topic,Has Topic,Assigns a concept to a high-level grouping or classification chapter.,,
Attribute,Anatomical,Has Topography ICDO,Has Topography ICDO,"Spatial qualifier describing location, morphology, or extent. Example: [Carcinoma, metastatic, NOS, of lymph nodes of inguinal region or leg] -> [Lymph nodes of inguinal region or leg]",,
Identity,Near equivalence,Has trade family grp,Has trade family group (SNOMED),"Links commercial or contextually similar entities (e.g., brand names, biosimilars, external maps).",,
Identity,Near equivalence,Has tradename,Has tradename (RxNorm),"Links commercial or contextually similar entities (e.g., brand names, biosimilars, external maps). Example: [hepatitis B immune globulin 217 UNT/ML] -> [hepatitis B immune globulin 217 UNT/ML [Bayhep B]]",Reciprocal of Tradename of.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Attribute,Pharmaceutical,Has transformation,Has dose form transformation (SNOMED),"A pharmaceutical dose-form attribute, matching the existing Dose form of/Has dose form family. Example: [Gas for insufflation] -> [No transformation]",,
Association,Administrative,Has type of service,Has type of service (LOINC),"Operational link for system billing, metadata, dictionaries, or encounter tracking. Example: [COVID-19 Intubation Consultation note] -> [COVID-19]",,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Attribute,Procedural,Has unit of admin,Has unit of administration (SNOMED),"Defines execution technicalities like route of administration, method, or device used.",,
Association,Administrative,Has unit of prod use,Has unit relating to the entity that can be handled (DM+D),"Operational link for system billing, metadata, dictionaries, or encounter tracking. Example: [Levothyroxine sodium 50 microgram oral tablet] -> [Tablet - unit of product usage]",,
Hierarchy,Categorical – up,Has vaccine group,Has vaccine group (CVX),"Assigns a concept to a high-level grouping or classification chapter. Example: [Anthrax vaccine, adsorbed, adjuvanted, post-exposure prophylaxis] -> [Anthrax vaccine, unspecified]",,
Attribute,Measurement,Has Value,Has Value,"Defines metrics, scales, units, and quantitative properties of an observation. Example: [Cancer code, self-reported] -> [salivary gland cancer]",,
Association,Administrative,HCPCS - SNOMED meas,HCPCS is a SNOMED measurement (OMOP),"Operational link for system billing, metadata, dictionaries, or encounter tracking.",,
Association,Therapeutic,ICD9CM - FDB Ind,ICD-9-CM to FDB Indication/Contraindication (FDB),Links therapeutic interventions to clinical indications or contraindications.,,
Identity,Version lineage,ICD9P replaced by,Concept replaced by (ICD-9-Procedure),Handles lifecycle transitions and deprecated concept history.,,
Identity,Version lineage,ICD9P replaces,Concept replaces (ICD-9-Procedure),Handles lifecycle transitions and deprecated concept history.,,
Association,Therapeutic,Immunosuppressor of,Immunosuppressor of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Belumosudil] -> [Belumosudil monotherapy],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Immunotherapy of,Immunotherapy of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Brexucabtagene autoleucel] -> [Brexucabtagene autoleucel monotherapy],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Ind/CI - SNOMED,Indication/Contra-indication to SNOMED,"Links therapeutic interventions to clinical indications or contraindications. Example: [Acidosis, Renal Tubular] -> [Renal tubular acidosis]",,
Attribute,Procedural,Indir device of,Indirect device of (SNOMED),"Defines execution technicalities like route of administration, method, or device used. Example: [Stoma bag] -> [Emptying colostomy bag]","Indirect device (attribute) represents action on something that is located in or on a device, but is not directly on the device itself. This attribute is infrequently needed. When modeling, carefully consider its use.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#indirect-device
Attribute,Context,Inheres in,Inheres in (SNOMED),Specific situational modifier or contextual role. Example: [Recumbent body height] -> [Entire body as a whole],Specifies the independent continuant in which the quality exists and on which the dependent quality (of this observable) depends.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#inheres-in
Attribute,Clinical,Intent of,Intent of (SNOMED),"Qualifies clinical states, statuses (e.g., severity, intent, prescribing status), or general clinical indicators. Example: [Treatment intent] -> [CT guided drainage of abscess]","The Has intent attribute is used when a procedure may be performed for various reasons, described with subtypes of 363675004 |Intents (nature of procedure values) (qualifier value)|, such as diagnostic, palliative, preventive, therapeutic, etc. These intents are not used to define procedures with intents that are inherent to the procedure; such as biopsies that are by definition diagnostic, or fracture fixations which are always therapeutic.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#has-intent
Association,Interaction,Interprets of,Interprets of (SNOMED),Defines safety or therapeutic interference between agents. Example: [Ability to participate in outdoor sporting activities] -> [Does participate in outdoor sporting activities],"Refers to the entity being evaluated or interpreted, when an evaluation, interpretation, or judgment is intrinsic to the meaning of a concept.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#interprets
Association,Therapeutic,Investig use for,Investigational use for (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [High-grade glioma pediatric] -> [Tasadenoturev],,
Attribute,Clinical,Is characterized by,Is characterized by (SNOMED),"Qualifies clinical states, statuses (e.g., severity, intent, prescribing status), or general clinical indicators. Example: [Direct local invasion] -> [Anatomic location directly invaded by primary malignant neoplasm of adrenal gland]","Specifies the process which the property describes, and on which the property (of this observable) depends",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#characterizes
Association,Therapeutic,Is curr in adult,Is current in adult (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [AC-D] -> [Breast cancer],,
Association,Therapeutic,Is curr in ped,Is current in pediatric (HemOnc),"Links therapeutic interventions to clinical indications or contraindications. Example: [Doxorubicin, Pegaspargase, Vincristine, Prednisone] -> [B-cell acute lymphoblastic leukemia pediatric]",,
Hierarchy,Categorical – up,Is domain,Is a domain (OMOP),Assigns a concept to a high-level grouping or classification chapter.,,
Association,Therapeutic,Is off-label ind of,Is off-label indication of (FDB),Links therapeutic interventions to clinical indications or contraindications.,,
Association,Mechanistic,Is translated from,Protein is translated from mRNA,Links substances to functional biological pathways or mechanisms. Example: [EGFR protein: Deletion in position 746 to 751] -> [EGFR transcript: [Deletion in position 2235 to 2252; Substitution in position 2256 of T replaced by A]],,
Hierarchy,Categorical – up,Issue of,Issue of,Assigns a concept to a high-level grouping or classification chapter. Example: [feeling thirsty] -> [Did you feel thirsty?],,
Attribute,Pharmaceutical,Marketed form of,Marketed form of (OMOP),Qualifies physical drug delivery properties or dose forms. Example: [pyridoxine 100 MG/ML Injection by Hospira] -> [pyridoxine 100 MG/ML Injection],Marketed form of the drug.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Attribute,Procedural,May be route of,May be route of (HemOnc),"Defines execution technicalities like route of administration, method, or device used. Example: [Intra-arterial] -> [Doxorubicin]",,
Association,Therapeutic,May prevent,May prevent (NDF-RT),"Links therapeutic interventions to clinical indications or contraindications. Example: [HYDROGEN PEROXIDE 3% SPRAY,TOP] -> [Skin Diseases, Infectious]",,
Attribute,Measurement,Measurement of,Measurement method of (SNOMED),"Defines metrics, scales, units, and quantitative properties of an observation. Example: [Immunoblot assay] -> [Measurement of microbial antibody using immunoblot]",,
Composition,Logical,MedDRA - HOI,MedDRA contained in HOI (OMOP),"Conceptual grouping/aggregation of entities (e.g., Q&A, HOI, SMQ, Schema).",,
Association,Mapping,MedDRA - ICD9CM,MedDRA to ICD-9-CM (MSSO),"This bridges adverse-event terminology (MedDRA) and diagnosis codes (ICD9CM), two systems built for different purposes and at different granularity. It is a lossy cross-vocabulary mapping, not a guaranteed 1:1 correspondence.",,
Composition,Logical,MedDRA - SMQ,MedDRA contained in SMQ (MedDRA),"Conceptual grouping/aggregation of entities (e.g., Q&A, HOI, SMQ, Schema).",,
Attribute,Procedural,Method of,Method of,"Defines execution technicalities like route of administration, method, or device used. Example: [Surgical rotation - action] -> [Rotational osteotomy of metatarsal]",,
Composition,Structural,Multilex ing of,Ingredient of (Multilex),Defines the inherent chemical constituents or dosage strength.,,
Identity,Exact equivalence,NDFRT - VAProd,NDF-RT to VA Product (NDF-RT),Direct semantic identity or mapping rule across different vocabularies.,,
Attribute,Pharmaceutical,NDFRT dose form of,Dose form of (NDF-RT),"Qualifies physical drug delivery properties or dose forms. Example: [Vaginal Film] -> [NONOXYNOL-9 28% FILM,VAG]",,
Attribute,Temporal,Occurs before,Occurs before (SNOMED),"Qualifies clinical events by their timing, sequence, or duration. Example: [Sickle cell-hemoglobin SS disease] -> [Acute chest syndrome]",,
Hierarchy,Taxonomic – up,OncoTree to ICDO br,OncoTree to ICDO broader,"Inheritance link generalizing to a broader parent. Example: [Lymphoid] -> [Neoplasm defined only by topography: Hematopoietic system, NOS]",,
Attribute,Pharmaceutical,Ontological form of,Ontological dose form presentation of (DM+D),Qualifies physical drug delivery properties or dose forms.,,
Hierarchy,Categorical – up,Parent item of,Parent item of (NAACCR),Assigns a concept to a high-level grouping or classification chapter. Example: [Phase III Radiation Treatment Modality] -> [Number of Phases of Rad Treatment to this Volume],,
Composition,Physical,Part of,Part of (SNOMED),Physical material assembly or structural part-whole relationship. Example: [Chromosome pair 9] -> [neurotrophic receptor tyrosine kinase 2 nucleotide sequence],,
Association,Causal,Pathology of,Pathological process of (SNOMED),"Relates conditions to their biological, pathological, or environmental causes. Example: [Contracture of joint] -> [At increased risk for joint contracture]",,
Association,Therapeutic,Pept-drug cjgt of,Peptide-drug conjugate of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Melphalan flufenamide] -> [Melphalan flufenamide and Dexamethasone],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Attribute,Context,Plays role,Plays role,Specific situational modifier or contextual role. Example: [SARS-CoV-2 antigen vaccine] -> [Active immunity stimulant role],,
Attribute,Clinical,Priority of,Priority of (SNOMED),"Qualifies clinical states, statuses (e.g., severity, intent, prescribing status), or general clinical indicators. Example: [Elective] -> [Elective repair of suprarenal abdominal aortic aneurysm]",Priority (attribute) is used when a procedure concept specifies a priority. This attribute is self-grouped.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#priority
